,article,model_generated,gpt-3.5
0,"CHAPTER ONE  
 
THE BOY WHO LIVED  
 
Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say  
that they were perfectly normal, thank you very much. They were the last  
people you'd expect to be involv ed in anything strange or mysterious,  
because they just didn't hold with such nonsense.  
 
Mr. Dursley was the director of a firm called Grunnings, which made  
drills. He was a big, beefy man with hardly any neck, although he did  
have a very large mustac he. Mrs. Dursley was thin and blonde and had  
nearly twice the usual amount of neck, which came in very useful as she  
spent so much of her time craning over garden fences, spying on the  
neighbors. The Dursleys had a small son called Dudley and in their  
opinion there was no finer boy anywhere.  
 
The Dursleys had everything they wanted, but they also had a secret, and  
their greatest fear was that somebody would discover it. They didn't  
think they could bear it if anyone found out about the Potters. Mrs.  
Potter was Mrs. Dursley's sister, but they hadn't met for several years;  
in fact, Mrs. Dursley pretended she didn't have a sister, because her  
sister and her good -for-nothing husband were as unDursleyish as it was  
possible to be. The Dursleys shuddere d to think what the neighbors would  
say if the Potters arrived in the street. The Dursleys knew that the  
Potters had a small son, too, but they had never even seen him. This boy  
was another good reason for keeping the Potters away; they didn't want  
Dudley mixing with a child like that.  
 
When Mr. and Mrs. Dursley woke up on the dull, gray Tuesday our story  
starts, there was nothing about the cloudy sky outside to suggest that  
strange and mysterious things would soon be happening all over the  
country . Mr. Dursley hummed as he picked out his most boring tie for"," The text delimited by triple backquotes tells the story of a normal family with one strange secret. They hide it from the world, and it causes problems. They fear people finding out, and their fear drives their behavior. The Potters are described as unDursleyish, and their presence is associated with a mysterious boy.","The first chapter of ""Harry Potter and the Philosopher's Stone"" introduces the seemingly ordinary Dursley family, who live on Privet Drive and are oblivious to the magical world."
1,"As he had expected, Mrs. Durs ley looked shocked and angry. After all,  
they normally pretended she didn't have a sister.  
 
""No,"" she said sharply. ""Why?""  
 
""Funny stuff on the news,"" Mr. Dursley mumbled. ""Owls... shooting  
stars... and there were a lot of funny -looking people in tow n today...""  
 
""So?"" snapped Mrs. Dursley.  
 
""Well, I just thought... maybe... it was something to do with... you  
know... her crowd.""  
 
Mrs. Dursley sipped her tea through pursed lips. Mr. Dursley wondered  
whether he dared tell her he'd heard the name ""Potter."" He decided he  
didn't dare. Instead he said, as casually as he could, ""Their son -- 
he'd be about Dudley's age now, wouldn't he?""  
 
""I suppose so,"" said Mrs. Dursley stiffly.  
 
""What's his name again? Howard, isn't it?""  
 
""Harry. Nasty, commo n name, if you ask me.""  
 
""Oh, yes,"" said Mr. Dursley, his heart sinking horribly. ""Yes, I quite  
agree.""  
 
He didn't say another word on the subject as they went upstairs to bed.  
While Mrs. Dursley was in the bathroom, Mr. Dursley crept to the 
bedroom  
window and peered down into the front garden. The cat was still there.  
It was staring down Privet Drive as though it were waiting for  
something.  
 
Was he imagining things? Could all this have anything to do with the"," Return your response in short and crisp meaningful summaries, using double quotes to highlight key phrases.
              1. Mrs. Dursley looks shocked and angry.
2. She asks him if there is something with him and his sister's crowd.
3. She seems preoccupied.
4. He decides not to mention Harry Potter.","Mr. Dursley becomes uneasy as peculiar events involving owls and strange-looking people occur, hinting at a connection to his wife's estranged sister and her son, Harry Potter."
2,"Dumbledore with such a piercin g stare as she did now. It was plain that  
whatever ""everyone"" was saying, she was not going to believe it until  
Dumbledore told her it was true. Dumbledore, however, was choosing  
another lemon drop and did not answer.  
 
""What they're saying,"" she press ed on, ""is that last night Voldemort  
turned up in Godric's Hollow. He went to find the Potters. The rumor is  
that Lily and James Potter are -- are -- that they're -- dead. ""  
 
Dumbledore bowed his head. Professor McGonagall gasped.  
 
""Lily and James...  I can't believe it... I didn't want to believe it...  
Oh, Albus...""  
 
Dumbledore reached out and patted her on the shoulder. ""I know... I  
know..."" he said heavily.  
 
Professor McGonagall's voice trembled as she went on. ""That's not all.  
They're saying  he tried to kill the Potter's son, Harry. But -- he 
couldn't. He couldn't kill that little boy. No one knows why, or how,  
but they're saying that when he couldn't kill Harry Potter, Voldemort's  
power somehow broke -- and that's why he's gone.  
 
Dumble dore nodded glumly.  
 
""It's -- it's true?"" faltered Professor McGonagall. ""After all he's  
done... all the people he's killed... he couldn't kill a little boy?  
It's just astounding... of all the things to stop him... but how in the  
name of heaven did Ha rry survive?""  
 
""We can only guess,"" said Dumbledore. ""We may never know.""  
 
Professor McGonagall pulled out a lace handkerchief and dabbed at her  
eyes beneath her spectacles. Dumbledore gave a great sniff as he took a  
golden watch from his pocket and examined it. It was a very odd watch.", Returning with a response that contains a quote from an unexpected character.,Dumbledore and Professor McGonagall discuss the shocking news of Voldemort's failed attempt to kill Harry Potter and the mysterious circumstances surrounding his defeat.
3,"A breeze ruffled the neat hedges of Privet Drive, which lay silent and  
tidy under the inky sky, the very last place yo u would expect  
astonishing things to happen. Harry Potter rolled over inside his  
blankets without waking up. One small hand closed on the letter beside  
him and he slept on, not knowing he was special, not knowing he was  
famous, not knowing he would be woken in a few hours' time by Mrs.  
Dursley's scream as she opened the front door to put out the milk  
bottles, nor that he would spend the next few weeks being prodded and  
pinched by his cousin Dudley... He couldn't know that at this very  
moment, people  meeting in secret all over the country were holding up  
their glasses and saying in hushed voices: ""To Harry Potter -- the boy  
who lived!""  
 
 
CHAPTER TWO  
 
THE VANISHING GLASS  
 
Nearly ten years had passed since the Dursleys had woken up to find  
their nephew on the front step, but Privet Drive had hardly changed at  
all. The sun rose on the same tidy front gardens and lit up the brass  
number four on the Dursleys' front door; it crept into their living  
room, which was almost exactly the same as it h ad been on the night when  
Mr. Dursley had seen that fateful news report about the owls. Only the  
photographs on the mantelpiece really showed how much time had passed.  
Ten years ago, there had been lots of pictures of what looked like a  
large pink beac h ball wearing different -colored bonnets -- but Dudley  
Dursley was no longer a baby, and now the photographs showed a large  
blond boy riding his first bicycle, on a carousel at the fair, playing a  
computer game with his father, being hugged and kissed b y his mother.  
The room held no sign at all that another boy lived in the house, too.  
 
Yet Harry Potter was still there, asleep at the moment, but not for  
long. His Aunt Petunia was awake and it was her shrill voice that made", Return your response in short and crisp summary.,"A seemingly ordinary boy, Harry Potter, sleeps unknowingly in a mundane neighborhood, oblivious to his eventual discovery of being a wizard and the pivotal role he will play in a world filled with magic, fame, and the echoes of a prophecy."
4,"""What about what's -her-name, your friend -- Yvonne?""  
 
""On vacation in Majorca,"" snapped Aunt Petunia.  
 
""You could just leave me here,"" Harry put in hopefully (he'd be able to  
watch what he wanted on television for a change and maybe even have a 
go 
on Dudley's computer).  
 
Aunt Petunia looked as though she'd just swallowed a lemon.  
 
""And come back and find the house in  ruins?"" she snarled.  
 
""I won't blow up the house,"" said Harry, but they weren't listening.  
 
""I suppose we could take him to the zoo,"" said Aunt Petunia slowly, ""...  
and leave him in the car....""  
 
""That car's new, he's not sitting in it alone....""  
 
Dudley began to cry loudly. In fact, he wasn't really crying -- it had  
been years since he'd really cried -- but he knew that if he screwed up  
his face and wailed, his mother would give him anything he wanted.  
 
""Dinky Duddydums, don't cry, Mummy won' t let him spoil your special  
day!"" she cried, flinging her arms around him.  
 
""I... don't... want... him... t -t-to come!"" Dudley yelled between huge,  
pretend sobs. ""He always sp - spoils everything!"" He shot Harry a nasty  
grin through the gap in his mot her's arms.  
 
Just then, the doorbell rang -- ""Oh, good Lord, they're here!"" said Aunt  
Petunia frantically -- and a moment later, Dudley's best friend, Piers  
Polkiss, walked in with his mother. Piers was a scrawny boy with a face"," Vacation in Majorca is disrupted when Dudley has to accompany his  
              friend Harry, causing a rift in their friendship; Harry, 
              however, finds an ally in Piers and enjoys the holiday despite  
              the tensions.","Harry's summer takes a turn for the worse as Aunt Petunia reluctantly plans a family outing to the zoo to avoid leaving him alone at home, while Dudley and his friend Piers create chaos."
5,"The snake nodded vigorously.  
 
""Where do you come from, anyway?"" Harry asked.  
 
The snake jabbed its tail at a little sign  next to the glass. Harry  
peered at it.  
 
Boa Constrictor, Brazil.  
 
""Was it nice there?""  
 
The boa constrictor jabbed its tail at the sign again and Harry read on:  
This specimen was bred in the zoo. ""Oh, I see -- so you've never been to  
Brazil?""  
 
As the snake shook its head, a deafening shout behind Harry made both of  
them jump.  
 
""DUDLEY! MR. DURSLEY! COME AND LOOK AT THIS SNAKE! 
YOU WON'T BELIEVE  
WHAT IT'S DOING!""  
 
Dudley came waddling toward them as fast as he could.  
 
""Out of the way, you ,"" he said, punching Harry in the ribs. Caught by  
surprise, Harry fell hard on the concrete floor. What came next happened  
so fast no one saw how it happened -- one second, Piers and Dudley were  
leaning right up close to the glass, the next, they had le apt back with  
howls of horror.  
 
Harry sat up and gasped; the glass front of the boa constrictor's tank  
had vanished. The great snake was uncoiling itself rapidly, slithering  
out onto the floor. People throughout the reptile house screamed and  
started  running for the exits.","- A large snake with a distinctive ""nod"" was seen in a zoo, and people were scared.
           - The snake was originally bred in Brazil and its tail wagged at a sign near it.
           - The snake's habitat was a zoo, and it was later discovered that it had been relocated to a different location.
           -","A snake from Brazil's zoo communicates with Harry through a glass enclosure, but chaos ensues when Dudley and his friend Piers provoke the snake, causing it to escape and panic visitors in the reptile house."
6,"Dudley and Uncle Vernon came in, both with wrinkled noses because of 
the 
smell from Harry's new uniform. Uncle Vernon opened his newspaper as  
usual and Dudley ban ged his Smelting stick, which he carried everywhere,  
on the table.  
 
They heard the click of the mail slot and flop of letters on the  
doormat.  
 
""Get the mail, Dudley,"" said Uncle Vernon from behind his paper.  
 
""Make Harry get it.""  
 
""Get the mail, Harry.""  
 
""Make Dudley get it.""  
 
""Poke him with your Smelting stick, Dudley.""  
 
Harry dodged the Smelting stick and went to get the mail. Three things  
lay on the doormat: a postcard from Uncle Vernon's sister Marge, who 
was 
vacationing on the Isle of  Wight, a brown envelope that looked like a  
bill, and -- a letter for Harry.  
 
Harry picked it up and stared at it, his heart twanging like a giant  
elastic band. No one, ever, in his whole life, had written to him. Who  
would? He had no friends, no othe r relatives -- he didn't belong to the  
library, so he'd never even got rude notes asking for books back. Yet  
here it was, a letter, addressed so plainly there could be no mistake:  
 
Mr. H. Potter  
 
The Cupboard under the Stairs"," Harry Potter receives a letter which makes him excited, and  
            makes him think of a letter sent to him from his uncle and  
            aunt, which prompts him to go outside and pick up more  
            mail.","Dudley and Uncle Vernon dismissively order Harry to fetch the mail, but Harry receives a surprising letter addressed to him, sparking curiosity and a sense of belonging in his lonely life."
7,"Next morning at breakfast, everyone was rather quiet. Dudley was in  
shock. He'd screamed, whacked his father with his Smelting st ick, been  
sick on purpose, kicked his mother, and thrown his tortoise through the  
greenhouse roof, and he still didn't have his room back. Harry was  
thinking about this time yesterday and bitterly wishing he'd opened the  
letter in the hall. Uncle Verno n and Aunt Petunia kept looking at each  
other darkly.  
 
When the mail arrived, Uncle Vernon, who seemed to be trying to be nice  
to Harry, made Dudley go and get it. They heard him banging things with  
his Smelting stick all the way down the hall. Then h e shouted, ""There's  
another one! 'Mr. H. Potter, The Smallest Bedroom, 4 Privet Drive --'"" 
 
With a strangled cry, Uncle Vernon leapt from his seat and ran down the  
hall, Harry right behind him. Uncle Vernon had to wrestle Dudley to the  
ground to get t he letter from him, which was made difficult by the fact  
that Harry had grabbed Uncle Vernon around the neck from behind. After 
a 
minute of confused fighting, in which everyone got hit a lot by the  
Smelting stick, Uncle Vernon straightened up, gasping f or breath, with  
Harry's letter clutched in his hand.  
 
""Go to your cupboard -- I mean, your bedroom,"" he wheezed at Harry.  
""Dudley -- go -- just go.""  
 
Harry walked round and round his new room. Someone knew he had 
moved out  
of his cupboard and they s eemed to know he hadn't received his first  
letter. Surely that meant they'd try again? And this time he'd make sure  
they didn't fail. He had a plan.  
 
The repaired alarm clock rang at six o'clock the next morning. Harry  
turned it off quickly and dresse d silently. He mustn't wake the  
Dursleys. He stole downstairs without turning on any of the lights."," The Dursleys have changed after moving to a new house, and Harry is determined to get his room back. After a traumatic experience yesterday, Harry's excited to have a new bedroom and hopes to get his room back. He tries to keep calm and devise a plan to get the Dursleys to send him his Hogwarts letter, but is","Harry, having been denied his room after Dudley's chaotic outburst, strategizes to ensure he receives his Hogwarts letter, prompting a dawn departure from the Dursleys' home."
8,"want to stay somewhere with a television. ""  
 
Monday. This reminded Harry of something. If it was Monday -- and you  
could usually count on Dudley to know the days the week, because of  
television -- then tomor row, Tuesday, was Harry's eleventh birthday. Of  
course, his birthdays were never exactly fun -- last year, the Dursleys  
had given him a coat hanger and a pair of Uncle Vernon's old socks.  
Still, you weren't eleven every day.  
 
Uncle Vernon was back and  he was smiling. He was also carrying a long,  
thin package and didn't answer Aunt Petunia when she asked what he'd  
bought.  
 
""Found the perfect place!"" he said. ""Come on! Everyone out!""  
 
It was very cold outside the car. Uncle Vernon was pointing at w hat 
looked like a large rock way out at sea. Perched on top of the rock was  
the most miserable little shack you could imagine. One thing was  
certain, there was no television in there.  
 
""Storm forecast for tonight!"" said Uncle Vernon gleefully, clappin g his  
hands together. ""And this gentleman's kindly agreed to lend us his  
boat!""  
 
A toothless old man came ambling up to them, pointing, with a rather  
wicked grin, at an old rowboat bobbing in the iron -gray water below  
them.  
 
""I've already got us so me rations,"" said Uncle Vernon, ""so all aboard!""  
 
It was freezing in the boat. Icy sea spray and rain crept down their  
necks and a chilly wind whipped their faces. After what seemed like  
hours they reached the rock, where Uncle Vernon, slipping and sli ding,  
led the way to the broken -down house.","- The response is that Harry wants to stay somewhere with a television. The text delimited by triple backquotes is ""Return your response in short and crisp meaningful summary."" The response indicates that Harry will be staying at the house with an old, cold, and miserable shack, where the TV will be absent.","Harry, anticipating his eleventh birthday, is taken by Uncle Vernon to a desolate shack on a rock, devoid of television, in the midst of an approaching storm, for an uncertain celebration."
9,"the warmth wash over him as though he'd sunk into a hot bath.  
 
The giant sat back down on the sofa, which sagged under his weight, and  
began taking all sorts of things out of the pockets of his coat: a  
copper kettle,  a squashy package of sausages, a poker, a teapot, several  
chipped mugs, and a bottle of some amber liquid that he took a swig from  
before starting to make tea. Soon the hut was full of the sound and  
smell of sizzling sausage. Nobody said a thing while the giant was  
working, but as he slid the first six fat, juicy, slightly burnt  
sausages from the poker, Dudley fidgeted a little. Uncle Vernon said  
sharply, ""Don't touch anything he gives you, Dudley.""  
 
The giant chuckled darkly.  
 
""Yet great puddin'  of a son don' need fattenin' anymore, Dursley, don'  
worry.""  
 
He passed the sausages to Harry, who was so hungry he had never tasted  
anything so wonderful, but he still couldn't take his eyes off the  
giant. Finally, as nobody seemed about to explain a nything, he said,  
""I'm sorry, but I still don't really know who you are.""  
 
The giant took a gulp of tea and wiped his mouth with the back of his  
hand.  
 
""Call me Hagrid,"" he said, ""everyone does. An' like I told yeh, I'm  
Keeper of Keys at Hogwarts -- yeh'll know all about Hogwarts, o' course.  
 
""Er -- no,"" said Harry.  
 
Hagrid looked shocked.  
 
""Sorry,"" Harry said quickly.  
 
""Sony?"" barked Hagrid, turning to stare at the Dursleys, who shrank back"," Harry Potter receives a mysterious package from Hagrid, containing a giant, fat sausage and a variety of other strange and mysterious items. Hagrid introduces himself as Hagrid of Hogwarts and explains that the package is from his wizarding school, Hogwarts, and that Harry should call him Hagrid. Hagrid's presence in Harry's life leads to","Hagrid, the giant Keeper of Keys at Hogwarts, surprises Harry with a feast in a magical hut, introducing him to the wizarding world while Dudley and the Dursleys are uneasy."
